Group,pre,post
Control,61,60
Control,63,62
Control,52,44
Control,46,55
Control,51,52
Control,56,62
Control,56,64
Control,61,49
Control,62,52
Control,59,63
Control,45,62
Control,51,56
Control,49,58
Control,45,48
Control,53,60
Control,57,44
Control,66,57
Control,71,55
Control,52,53
Control,55,63
Control,47,53
Control,53,44
Control,60,49
Control,53,50
Control,55,58
Control,51,61
Control,46,73
Experiment,55,83
Experiment,76,86
Experiment,63,80
Experiment,65,85
Experiment,70,81
Experiment,56,78
Experiment,70,83
Experiment,55,76
Experiment,79,74
Experiment,73,77
Experiment,65,85
Experiment,60,80
Experiment,63,89
Experiment,42,79
Experiment,42,68
Experiment,56,85
Experiment,56,76
Experiment,75,90
Experiment,61,83
Experiment,53,86
Experiment,54,81
Experiment,58,86
Experiment,54,86
Experiment,57,84
Experiment,49,80
Experiment,56,87
Experiment,49,85
