Group,pre,post
Control,6,6
Control,6,7
Control,5,5
Control,4,6
Control,5,5
Control,5,6
Control,6,5
Control,6,5
Control,6,5
Control,6,6
Control,5,6
Control,5,5
Control,5,5
Control,4,5
Control,5,6
Control,5,4
Control,6,5
Control,7,5
Control,4,5
Control,5,7
Control,4,6
Control,5,4
Control,6,4
Control,5,6
Control,6,6
Control,6,6
Control,5,8
Experiment,5,8
Experiment,6,9
Experiment,6,8
Experiment,6,9
Experiment,7,8
Experiment,6,8
Experiment,6,8
Experiment,5,7
Experiment,7,9
Experiment,6,6
Experiment,6,7
Experiment,6,8
Experiment,5,10
Experiment,4,8
Experiment,4,8
Experiment,5,8
Experiment,5,7
Experiment,7,10
Experiment,6,8
Experiment,5,9
Experiment,5,8
Experiment,5,9
Experiment,5,8
Experiment,5,8
Experiment,4,8
Experiment,6,9
Experiment,4,9
